latitude,longitude,starting at base,initial fuel
-34.809,150.54,t,0.781600876
-37.82,145.81,t,0.828166643
-36.596,147.02,t,0.549016875
-37.875,146.26,t,0.509500847
-37.134,149.27,t,0.516625474
-34.909,150.44,t,0.943191174
-35.624,150.02,t,0.620839472
-37.769,146.98,t,0.92068949
-35.982,149.7,t,0.669538075
-37.189,148.09,t,0.807990467
-35.379,150.11,t,0.922279511
-37.396,148.93,t,0.560799656
-36.89,146.4,t,0.768422328
-36.673,149.49,t,0.736338942
-37.118,146.72,t,0.825534182
-36.878,148.11,t,0.78018055
-37.229,149.12,t,0.734696436
-37.273,148.52,t,0.755473152
-36.08,149.81,t,0.91415955
-34.943,150.05,t,0.849744585
-36.471,149.02,t,0.89876679
-36.842,147.16,t,0.859815155
-37.054,148.67,t,0.539015645
-37.538,148.98,t,0.549514851
-37.074,146.55,t,0.965022606
-36.677,147.22,t,0.526978723
-35.875,148.26,t,0.940657231
-36.479,149.78,t,0.737660867
-35.387,149.28,t,0.663833281
-36.154,148.32,t,0.599810143
-35.132,148.79,t,0.589696443
-35.797,147.89,t,0.933080543
-37.526,145.79,t,0.948319627
-37.348,149.37,t,0.803287224
-37.687,148.22,t,0.57614626
-35.574,148.2,t,0.532392581
-35.495,149.73,t,0.689943528
-36.697,147.58,t,0.775499649
-36.846,146.08,t,0.82209562
-37.632,146.06,t,0.714113009
-37.249,146.91,t,0.699724106
-36.121,147.99,t,0.919447759
-36.504,147.94,t,0.768519672
-37.368,146.33,t,0.997841759
-37.026,147.84,t,0.610945009
-37.561,147.28,t,0.871663138
-36.117,147.52,t,0.630832135
-36.325,147.83,t,0.895967568
-37.376,148.47,t,0.951083582
-37.058,146.78,t,0.89847478
-36.109,148.86,t,0.776360526
-37.656,149.2,t,0.802472133
-35.237,149.66,t,0.723224593
-36.701,149.76,t,0.52271142
-36.822,147.86,t,0.879060557
-35.395,148.73,t,0.67635985
-35.383,149.59,t,0.684396543
-37.439,146.04,t,0.731589191
-35.624,149.16,t,0.761694286
-37.573,146.7,t,0.667751279
-35.863,148.84,t,0.658323725
-36.709,148.87,t,0.95840801
-36.766,146.71,t,0.964114854
-36.629,148.08,t,0.55399062
-35.64,148.65,t,0.819145857
-36.918,148.88,t,0.539491873
-35.706,150,t,0.847634414
-35.04,149.21,t,0.675118152
-37.785,146.63,t,0.70149135
-37.042,147.29,t,0.794750138
-36.99,148.33,t,0.923812206
-36.746,148.48,t,0.81451181
-35.863,149.85,t,0.615483056
-37.447,149.38,t,0.699019619
-36.978,146.88,t,0.884678863
-35.859,149.26,t,0.515722171
-37.459,147.8,t,0.863900517
-35.048,149.64,t,0.542690333
-36.398,147.25,t,0.67149041
-34.973,150.19,t,0.947351268
