latitude,longitude,starting at base,initial fuel
-34.809,150.54,t,0.620498132
-37.82,145.81,t,0.744386981
-36.89,146.4,t,0.521651045
-37.118,146.72,t,0.551788872
-36.499,149.31,t,0.747273013
-36.878,148.11,t,0.636790377
-36.467,148.52,t,0.935374673
-36.673,149.49,t,0.512547549
-35.797,147.89,t,0.994294509
-35.859,149.26,t,0.788919099
-35.048,149.64,t,0.616445482
-36.154,148.32,t,0.670122395
-37.134,149.27,t,0.705472917
-37.73,146.26,t,0.525981296
-37.368,146.33,t,0.711892277
-37.376,148.47,t,0.989178823
-36.99,148.33,t,0.8935107
-37.785,146.63,t,0.870018817
-37.249,146.91,t,0.664900503
-37.573,146.7,t,0.893132776
-36.822,147.86,t,0.919041304
-35.04,149.21,t,0.58999504
-35.383,149.59,t,0.605592963
-36.701,149.76,t,0.995352847
-36.629,148.08,t,0.627639252
-36.697,147.58,t,0.768314716
-36.101,149.45,t,0.85733604
-35.374,148.44,t,0.595168875
-36.325,147.83,t,0.685708237
-36.677,147.22,t,0.993559835
