latitude,longitude,starting at base,initial fuel
-34.809,150.54,t,0.777484676
-37.82,145.81,t,0.721549804
-35.048,149.64,t,0.907469202
-36.99,148.33,t,0.960080983
-34.943,150.05,t,0.807892843
-35.859,149.26,t,0.95985034
-36.313,149.23,t,0.858883715
-36.479,149.78,t,0.994598272
-37.273,148.52,t,0.705626356
-36.842,147.16,t,0.503894545
-35.624,149.16,t,0.684345334
-37.042,147.29,t,0.920635123
-37.561,147.28,t,0.501126001
-35.132,148.79,t,0.994088636
-37.573,146.7,t,0.909425136
-37.687,148.22,t,0.897430438
-36.709,149.2,t,0.531047386
-36.596,147.02,t,0.694497721
-35.863,148.84,t,0.605934009
-36.746,148.48,t,0.941140555
