latitude,longitude,starting at base,initial fuel
-34.809,150.54,t,0.508656638
-37.82,145.81,t,0.943750027
-36.199,147.14,t,0.796630796
-35.706,150,t,0.792992399
-34.909,150.44,t,0.980988865
-36.313,149.23,t,0.609398693
-37.687,148.22,t,0.897583875
-35.982,149.7,t,0.9650275
-35.863,148.84,t,0.987877676
-36.121,147.99,t,0.795512064
-36.878,148.11,t,0.5592093
-37.439,146.04,t,0.806059534
-36.842,147.16,t,0.633108511
-35.048,149.64,t,0.606895237
-37.73,147.63,t,0.527315859
-37.054,148.67,t,0.653578876
-36.701,149.76,t,0.516714471
-37.026,147.84,t,0.96048972
-36.709,149.2,t,0.510664112
-36.154,148.32,t,0.851090205
-37.561,147.28,t,0.861187453
-36.99,148.33,t,0.54926974
-37.526,145.79,t,0.523468341
-35.624,149.16,t,0.613480035
-35.374,148.44,t,0.687456928
-37.273,148.52,t,0.529071681
-35.132,148.79,t,0.781652785
-37.459,147.8,t,0.92803955
-36.629,148.08,t,0.601173627
-35.395,148.73,t,0.555773161
-35.574,148.2,t,0.554062539
-35.859,149.26,t,0.582038801
-37.73,146.26,t,0.749833564
-36.504,147.94,t,0.616882449
-37.348,149.37,t,0.503363813
-36.325,148.38,t,0.994931811
-37.632,146.06,t,0.60994283
-36.713,148.26,t,0.736722487
-36.471,149.02,t,0.735917228
-36.89,146.4,t,0.854533497
-37.074,146.55,t,0.804078633
-35.387,149.28,t,0.963001682
-37.189,148.09,t,0.900391076
-37.376,148.47,t,0.990996032
-36.846,146.08,t,0.842642311
-37.656,149.2,t,0.841048877
-35.624,150.02,t,0.564886146
-35.379,150.11,t,0.688154917
-36.479,149.78,t,0.61731957
-36.834,148.71,t,0.917760224
