latitude,longitude,starting at base,initial fuel
-34.809,150.54,t,0.557943999
-37.82,145.81,t,0.592740147
-37.538,148.98,t,0.977470215
-37.526,145.79,t,0.908702156
-37.249,146.91,t,0.712524161
-37.189,148.09,t,0.875751234
-35.982,149.7,t,0.593636064
-36.822,147.86,t,0.985686041
-36.629,148.08,t,0.76741233
-34.973,150.19,t,0.612125618
-37.042,147.29,t,0.621430511
-37.026,147.84,t,0.912989339
-37.769,146.98,t,0.575458087
-36.709,149.2,t,0.950170085
-36.89,146.4,t,0.905804964
-36.121,147.99,t,0.550515096
-36.154,148.32,t,0.629265923
-37.573,146.7,t,0.502365357
-36.596,147.02,t,0.57822509
-37.273,148.52,t,0.762133869
-36.313,149.23,t,0.920894937
-35.624,150.02,t,0.711738428
-34.909,150.44,t,0.879282949
-35.495,149.73,t,0.774276283
-37.134,149.27,t,0.993882589
-35.379,150.11,t,0.994971552
-36.08,149.81,t,0.610467893
-36.499,149.31,t,0.808808932
-36.701,149.76,t,0.892113121
-36.99,148.33,t,0.98330686
-36.117,147.52,t,0.500220166
-36.677,147.22,t,0.79478355
-35.237,149.66,t,0.564469155
-35.04,149.21,t,0.636396691
-36.471,149.02,t,0.649429777
-37.561,147.28,t,0.95598315
-36.451,147.51,t,0.781583345
-36.697,147.58,t,0.981333437
-35.383,149.59,t,0.848370883
-37.058,146.78,t,0.810258758
-36.199,147.14,t,0.975456042
-36.846,146.08,t,0.535282838
-37.875,146.26,t,0.952405886
-36.398,147.25,t,0.811825748
-35.387,149.28,t,0.740702192
-36.746,148.48,t,0.619239612
-37.73,147.63,t,0.80215344
-37.336,146.45,t,0.753697693
-36.709,148.87,t,0.91706238
-37.118,146.72,t,0.778572179
-37.656,149.2,t,0.658617534
-36.978,146.88,t,0.569103697
-37.074,146.55,t,0.850603407
-36.325,148.38,t,0.855647965
-35.64,148.65,t,0.556565447
-35.863,148.84,t,0.675136118
-36.109,148.86,t,0.634364527
-35.706,150,t,0.965658354
-37.459,147.8,t,0.532791684
-37.439,146.04,t,0.901314819
-35.863,149.85,t,0.831939044
-35.132,148.79,t,0.504581653
-36.918,148.88,t,0.775212926
-36.479,149.78,t,0.627811069
-36.673,149.49,t,0.823913414
-35.797,147.89,t,0.865718154
-36.325,147.83,t,0.673313788
-36.504,147.94,t,0.911491626
-35.875,148.26,t,0.963853353
-35.961,149.73,t,0.919593537
