latitude,longitude
-36.56742082,148.847436
-35.64838501,148.6794168
-37.57499497,148.5541198
-35.56247063,149.6281505
-37.50333543,147.2687228
-36.70874265,148.7434439
-36.64775136,149.0323773
-36.37568059,148.6853028
-36.84805205,148.1222448
-37.59922796,149.2484518
-38.10506212,146.3455414
-36.94471961,148.4758449
-34.98663522,149.8683201
-37.43719551,148.0356584
-35.82798521,149.529193
-35.87161941,149.6065507
-36.28856062,146.9103294
-37.7686982,146.7086439
-37.00113463,147.2860678
-35.7310179,149.3939157
-37.31695764,147.4620126
-37.8194889,146.3828467
-35.76078244,149.8743767
-35.75251445,149.6534857
-37.17943545,148.1790165
-36.17768261,148.9747023
-35.77746013,149.0739763
-36.1543159,148.7397953
-36.64016496,148.1964905
-36.26895372,148.3749682
-37.68331473,147.7812787
-36.84198171,149.0566023
-36.87865094,149.9989824
-34.86615162,150.3101236
-36.69089634,149.7526149
-35.41520213,148.9017536
-37.7633879,148.0423102
-36.54593432,146.4835983
-35.21484308,149.4249013
-35.43432589,149.3740273
-37.72550608,146.1887353
-35.39410655,149.3520085
-35.91919675,149.6296048
-36.80627861,149.6046546
-37.57393806,146.3143961
-37.92593423,146.4373639
-36.0636832,148.3524217
-34.99673067,148.7353262
-36.03933403,149.2516507
-36.49579986,146.7400588
-37.14003891,147.4955269
-36.83486883,149.2784039
-37.15199791,145.4826035
-37.92077633,145.7655219
-36.02637118,148.7678161
-36.87004403,149.5148074
-35.20616091,148.2903153
-37.76331455,146.5787014
-35.70636413,149.1542568
-34.87707672,149.5223449
-37.18137333,146.1522839
-36.91586315,147.3693898
-36.90983653,149.8776595
-36.97643877,148.3993414
-36.05825538,150.1083426
-36.46636965,146.8105099
-35.85897998,149.8686798
-36.70839201,148.407603
-38.00394955,146.2062646
-35.96736598,147.1523538
-37.54566555,149.1597454
-35.79943399,149.6684409
-37.39118946,147.2880635
-37.19701776,148.0261752
-37.48912437,148.7510359
-37.49740343,145.8431143
-35.93007745,148.5527948
-35.62052443,148.2483545
-37.61381379,148.4918488
-36.61477196,147.0726885
-36.80057837,146.7206098
-37.73613412,146.4144991
-36.19992539,148.0903257
-37.16122068,145.4962192
-37.19976599,148.3672408
-37.53152653,148.8377948
-36.60548659,146.8967566
-37.07751257,149.8148892
-37.58237218,149.2195509
-36.87073046,146.0876786
-36.31398986,148.8090239
-38.01494035,146.3825908
-36.26206143,148.6733021
-36.7829797,149.0580839
-37.60323567,147.7435349
-35.707357,149.5146655
-36.83769626,148.9039882
-35.55952554,147.7561082
-36.3482774,149.0671571
-35.16597648,148.4286225
-36.85685514,148.6476578
-34.92162332,149.893027
-36.50602701,147.3863038
-36.39552308,146.8570983
-36.11575619,149.2303821
-37.22643191,146.3657179
-36.66824722,148.6739567
-36.6603209,149.154691
-35.72108691,147.5812462
-36.78238116,146.4938024
-35.40748021,149.7290869
-37.39820533,148.5487035
-36.86709804,147.7412547
-36.57424478,149.6024045
-36.76344851,146.7282231
-37.1672433,147.6091225
-35.43967905,149.2655557
-35.94446929,147.5566635
-36.3159736,149.1491571
-36.45277506,146.5756928
-36.42494764,148.0669465
-36.63499255,148.6983257
-37.82312895,145.7188094
-36.35514073,149.134092
-37.13909382,148.6424588
-37.86851797,145.5079218
-35.84638772,149.53524
-37.73138005,146.6854934
-35.74705985,148.689788
-36.15183839,147.1381532
-36.30846305,147.5559866
-35.15256568,150.6788832
-37.56596054,146.6592068
-35.22618191,148.9974204
-36.0259369,149.1136125
-36.74151086,148.9483646
-37.84607047,146.5031785
-37.04320748,148.0057306
-38.09001925,146.5202627
-36.61782872,148.4607882
-37.25886806,147.9552863
-37.53108907,145.875857
-36.81761382,146.5573679
-37.77217188,145.8671273
-35.86105668,147.5902605
-37.18115638,146.3350649
-37.51944572,146.9049868
-35.45670093,148.3388785
-37.17529872,146.561127
-37.55147281,147.48337
-35.64959691,147.954697
-35.23197517,149.5036146
-36.91629165,149.3432951
-37.42758531,147.1732636
-34.94985009,149.6311262
-36.54296468,147.4050845
-36.84563641,147.6576294
-37.00080165,150.0104609
-35.63153116,147.6213818
-37.65776259,147.1072046
-35.32553183,148.1982006
-35.4168191,148.4930241
-35.61981056,148.8475216
-37.54494842,147.6619534
-37.55561692,147.107944
-36.07441122,149.3008999
-36.21282535,148.9014448
-35.89911645,149.4876072
-35.83805487,147.3823772
-37.35938016,149.1798406
-35.40122884,148.2229564
-37.03610445,145.7886261
-37.92137238,146.6397655
-37.07700994,146.0782733
-36.81102684,148.9998083
-37.55021549,147.9202898
-36.36009854,148.2494769
-35.04154208,148.6193753
-36.89139348,147.157928
-36.09506447,149.5352497
-37.74964279,146.7685851
-35.63091891,149.0526794
-35.63293949,150.3309737
-37.21750618,149.3482116
-36.57619515,146.6160535
-38.04960103,145.9700039
-37.558403,147.0760239
-37.67679232,146.1211447
-35.9632113,149.3520755
-37.24978392,147.7123268
-37.44402297,148.4031713
-34.84425177,150.4306436
-36.0325864,148.9132
-36.93776861,145.9713315
-37.94800658,146.1292215
-37.17058213,146.6278387
-37.9018788,145.5606763
-36.442791,146.6468609
-37.25898903,145.8387889
-37.06718968,145.9874463
-34.91750885,149.289709
-34.75745476,150.8357057
-36.68838245,146.704564
-37.29312348,146.6366416
-35.23815142,150.4232365
-37.26523726,148.1570911
-35.5926478,148.7042971
-36.86096981,146.3712325
-35.65014499,149.6825713
-37.20517064,146.0922417
-35.61794792,147.7976101
-35.2029174,149.0942332
-36.79383956,146.8190779
-35.8802746,149.133833
-35.1394777,149.0440992
-35.86527779,148.3844539
-37.6945834,145.5193418
-36.36734846,149.4516711
-37.61134649,148.9012398
-36.04129086,148.7672284
-36.8769079,149.2406795
-36.68917358,149.8666007
-36.70469556,146.3559511
-35.42720901,148.789132
-35.51325194,148.9935152
-37.40401899,147.301013
-36.5483766,149.73439
-35.71117653,148.6951069
-35.63480664,149.410137
-36.8648687,145.8536096
-37.61393089,149.28537
-37.99013902,146.6620509
-37.68975291,148.8288447
-36.00842685,149.3676721
-34.96118124,149.4032137
-35.12112178,148.4784284
-36.25880997,148.9462327
-35.46260711,149.6479828
-35.87269952,150.1659835
-37.25421891,149.1051438
-35.49930832,149.2717855
-37.20810451,145.8704985
-36.63230179,146.598659
-37.60811771,146.2794033
-35.29212568,148.9085331
-37.88532026,146.6115854
-37.1991698,146.7747434
-36.65410302,148.1775799
-37.82215599,148.5310661
-36.85337211,146.7626289
-35.4606984,149.3294765
-37.33334675,147.2261497
-35.25046362,150.4909307
-36.40226442,149.6445214
-36.78442272,147.4809363
-36.42772805,149.6183228
-36.29581252,148.1457505
-38.11503486,146.2527027
-37.72091349,147.8468233
-35.52314968,148.649522
-37.56417214,149.0484313
-37.18264841,147.8400743
-37.71779796,145.6262146
-35.34908684,150.2804797
-34.81251369,150.6679243
-35.36469908,150.2147436
-36.40089794,147.7140899
-35.27595323,148.0915573
-37.75585087,148.0190669
-36.65965212,148.5065624
-38.01842372,145.7112284
-35.39903487,148.6346296
-36.09836717,147.281197
-37.87700173,145.5033954
-36.59265098,148.6435064
-37.90429652,146.27693
-36.41404022,149.452068
-36.84332272,147.6706954
-34.72320187,150.8035983
-36.01298554,147.1513245
-37.00127047,149.7047699
-36.0431415,148.6535654
-35.01887529,150.2186202
-37.1772683,149.9546153
-34.92003927,150.6852685
-37.28123148,147.6925959
-37.15486796,145.9722515
-35.76145397,147.5148949
-36.2652617,149.8053888
-35.1470383,149.6256095
-35.52566595,149.1510663
-35.22648299,148.3757886
-37.97957285,145.8433794
