latitude,longitude,starting at base,initial fuel
-34.809,150.54,t,0.500799228
-37.82,145.81,t,0.681157894
-35.961,149.73,t,0.524488485
-36.822,147.86,t,0.713210166
-36.918,148.88,t,0.54060858
-35.132,148.79,t,0.566867318
-36.596,147.02,t,0.778469107
-37.73,147.63,t,0.77700249
-36.504,147.94,t,0.63056931
-35.048,149.64,t,0.616292985
-35.495,149.73,t,0.555425104
-36.08,149.81,t,0.919267294
-36.842,147.16,t,0.628085003
-35.859,149.26,t,0.619161946
-36.117,147.52,t,0.984136552
-37.058,146.78,t,0.854915715
-34.973,150.19,t,0.688603758
-36.709,148.87,t,0.685804814
-36.709,149.2,t,0.794700589
-34.943,150.05,t,0.773882727
-36.629,148.08,t,0.56419956
-35.383,149.59,t,0.546871233
-37.632,146.06,t,0.773814689
-36.471,149.02,t,0.578203787
-37.118,146.72,t,0.845873933
-36.766,146.71,t,0.716358599
-36.713,148.26,t,0.882523283
-37.687,148.22,t,0.58834362
-37.459,147.8,t,0.798475712
-35.374,148.44,t,0.872464775
-35.624,150.02,t,0.795318746
-36.154,148.32,t,0.856713286
-36.89,146.4,t,0.562359789
-37.336,146.45,t,0.963922462
-35.04,149.21,t,0.716923317
-37.348,149.37,t,0.9666659
-37.573,146.7,t,0.99123579
-35.797,147.89,t,0.714903184
-37.054,148.67,t,0.916041821
-37.189,148.09,t,0.615673199
-36.467,148.52,t,0.94093847
-37.656,149.2,t,0.507956642
-35.863,149.85,t,0.754803037
-36.101,149.45,t,0.641809844
-37.785,146.63,t,0.845161263
-34.909,150.44,t,0.784652813
-36.121,147.99,t,0.587994744
-36.978,146.88,t,0.922137581
-37.074,146.55,t,0.911247285
-37.526,145.79,t,0.555442778
-37.769,146.98,t,0.9881445
-36.878,148.11,t,0.697498989
-37.561,147.28,t,0.950541459
-35.237,149.66,t,0.661140814
-37.439,146.04,t,0.795238446
-36.451,147.51,t,0.715758859
-37.249,146.91,t,0.761625558
-35.379,150.11,t,0.873898099
-37.875,146.26,t,0.551923061
-36.325,147.83,t,0.881016987
-36.834,148.71,t,0.521419373
-37.042,147.29,t,0.843540839
-36.677,147.22,t,0.897649136
-35.395,148.73,t,0.733119308
-37.368,146.33,t,0.628878157
-37.026,147.84,t,0.629601866
-36.499,149.31,t,0.803165171
-37.73,146.26,t,0.80972447
-36.199,147.14,t,0.906937312
-37.229,149.12,t,0.66665288
-37.134,149.27,t,0.809984304
-35.863,148.84,t,0.558437157
-37.396,148.93,t,0.725394834
-36.701,149.76,t,0.860102787
-35.387,149.28,t,0.620882108
-35.706,150,t,0.683035026
-37.538,148.98,t,0.786251098
-35.982,149.7,t,0.880380875
-36.109,148.86,t,0.978133937
-37.376,148.47,t,0.962876393
-36.673,149.49,t,0.753219623
-35.875,148.26,t,0.704511974
-35.574,148.2,t,0.836036892
-36.697,147.58,t,0.908837191
-36.746,148.48,t,0.514432851
-37.447,149.38,t,0.855036616
-36.846,146.08,t,0.676036414
-35.64,148.65,t,0.544150273
-37.273,148.52,t,0.566042671
-36.398,147.25,t,0.983833142
